model,params,best_val_mse,test_mse,checkpoint,history
baseline_relu,40100003,0.008200905012801803,0.008288659155368805,ckpts/2x2_integrated_full_relu_cuda_baseline_2000x10.pt,logs/history/2x2_integrated_full_relu_cuda_baseline_2000x10.csv
neighbourhood_relu_K3,40140003,0.0057755642377867785,0.005891540553420782,ckpts/2x2_integrated_full_relu_cuda_neigh_K3_2000x10.pt,logs/history/2x2_integrated_full_relu_cuda_neigh_K3_2000x10.csv
