config,hidden,n_hidden,baseline_params,baseline_val,baseline_test,neigh_params,neigh_val,neigh_test
128x3,128,3,296563,0.002397656615357846,0.0024062800221145153,300659,0.0024276399635709822,0.0023655500262975693
256x4,256,4,718963,0.0021696335170418024,0.00218627299182117,727155,0.0018328949809074402,0.001845217659138143
512x4,512,4,1825139,0.0016118008352350444,0.001661544432863593,1841523,0.000867638984345831,0.0009346875594928861
1024x6,1024,6,7320435,0.0007640239782631397,0.0008310010889545083,7353203,0.000697718292940408,0.0007494632736779749
2000x10,2000,10,40076003,0.0005226657231105492,0.0005699282046407461,40140003,0.0005619933508569375,0.0006074271514080465
