config,hidden,n_hidden,baseline_params,baseline_val,baseline_test,neigh_params,neigh_val,neigh_test
128x3,128,3,298099,0.05047834478318691,0.048514023423194885,300659,0.03640438988804817,0.03441239520907402
256x4,256,4,722035,0.05382676422595978,0.04912136122584343,727155,0.04207693971693516,0.03988446667790413
512x4,512,4,1831283,0.053572267293930054,0.04987763613462448,1841523,0.04247085936367512,0.03972797095775604
1024x6,1024,6,7332723,0.048322081565856934,0.04520747810602188,7353203,0.04544713720679283,0.04310547560453415
2000x10,2000,10,40100003,0.04648281820118427,0.04289500042796135,40140003,0.042139528319239616,0.038541652262210846
