================ RUN START Thu Jun 25 03:42:09 CDT 2026 ================
Dataset: power-transmission 2x2 | device check below

################ MODEL 1: BASELINE (no neighbouring) ################
Dataset: power-transmission 2x2  |  input 16 -> output 2001
Trainable parameters: 40,100,003
Epoch 360 | train 0.001422 | val 0.042263 | lr 6.4e-09
Epoch 370 | train 0.001549 | val 0.042281 | lr 6.4e-09
Epoch 380 | train 0.001526 | val 0.042145 | lr 6.4e-09
Epoch 390 | train 0.001579 | val 0.042290 | lr 6.4e-09
Epoch 400 | train 0.001533 | val 0.042288 | lr 6.4e-09
Epoch 410 | train 0.001599 | val 0.042241 | lr 6.4e-09
Epoch 420 | train 0.001788 | val 0.042248 | lr 6.4e-09
Epoch 430 | train 0.001820 | val 0.042267 | lr 6.4e-09
Epoch 440 | train 0.001673 | val 0.042286 | lr 6.4e-09
Epoch 450 | train 0.001748 | val 0.042263 | lr 6.4e-09
Epoch 460 | train 0.001772 | val 0.042252 | lr 6.4e-09
Epoch 470 | train 0.001658 | val 0.042352 | lr 6.4e-09
Epoch 480 | train 0.001568 | val 0.042278 | lr 6.4e-09
Epoch 490 | train 0.001638 | val 0.042282 | lr 6.4e-09

Done in 6.8 min. Best val loss: 0.041989
Saved best checkpoint to: best_powertx_neighborhood_2x2.pt

################ EVALUATE BOTH ON TEST SET ################
[2x2] Baseline MLP        test MSE: 0.044661  (4.466e-02)
[2x2] Neighbourhood MLP   test MSE: 0.038193  (3.819e-02)
================ RUN DONE Thu Jun 25 03:53:36 CDT 2026 ================
