================ FULL SWEEP START Thu Jun 25 05:10:38 CDT 2026 ================
Sweep on power-transmission 1x1 | device mps | configs [(128, 3), (256, 4), (512, 4), (1024, 6), (2000, 10)]
saved logs/sweep_1x1_meta.txt
  sweep run     : 2026-06-25T05:10:44
  dataset       : power-transmission 1x1  (/Users/mkfqm/malof_lab/power_tx_data/dataset_1x1.npz)
  grid_n=1  channels=4  kernel K=3
  input_dim=4  output_dim=2001
  samples       : train=2044  val=511  test=451  (test_split=0.15)
  optim         : epochs=500 lr=0.0001 weight_decay=0.0001 batch=128 lr_decay=0.2 lr_patience=10
  device        : mps
  CONFIGS       : [(128, 3), (256, 4), (512, 4), (1024, 6), (2000, 10)]   (HIDDEN x N_HIDDEN)
  variants      : baseline (flat MLP) + neighbourhood (ScaleInvariantMetasurface)

========== config 128x3 ==========
---- baseline 128x3 ----
Trainable parameters: 296,563
Epoch 280 | train 0.003520 | val 0.002460 | lr 6.4e-09
Epoch 290 | train 0.003820 | val 0.002455 | lr 6.4e-09
Epoch 300 | train 0.004066 | val 0.002484 | lr 6.4e-09
Epoch 310 | train 0.004473 | val 0.002452 | lr 6.4e-09
Epoch 320 | train 0.003738 | val 0.002458 | lr 6.4e-09
Epoch 330 | train 0.003480 | val 0.002482 | lr 6.4e-09
Epoch 340 | train 0.003574 | val 0.002436 | lr 6.4e-09
Epoch 350 | train 0.003955 | val 0.002500 | lr 6.4e-09
Epoch 360 | train 0.004234 | val 0.002441 | lr 6.4e-09
Epoch 370 | train 0.003632 | val 0.002477 | lr 6.4e-09
Epoch 380 | train 0.003803 | val 0.002451 | lr 6.4e-09
Epoch 390 | train 0.003546 | val 0.002457 | lr 6.4e-09
Epoch 400 | train 0.003756 | val 0.002442 | lr 6.4e-09
Epoch 410 | train 0.004045 | val 0.002459 | lr 6.4e-09
Epoch 420 | train 0.003812 | val 0.002440 | lr 6.4e-09
Epoch 430 | train 0.003895 | val 0.002463 | lr 6.4e-09
Epoch 440 | train 0.003960 | val 0.002463 | lr 6.4e-09
Epoch 450 | train 0.003799 | val 0.002448 | lr 6.4e-09
Epoch 460 | train 0.004107 | val 0.002475 | lr 6.4e-09
Epoch 470 | train 0.004013 | val 0.002459 | lr 6.4e-09
Epoch 480 | train 0.003843 | val 0.002467 | lr 6.4e-09
Epoch 490 | train 0.003829 | val 0.002450 | lr 6.4e-09

Done in 0.5 min. Best val loss: 0.002428
Saved best checkpoint to: ckpts/sweep_1x1_neigh_128x3.pt
[128x3] baseline test 0.00241 (val 0.00240) | neigh test 0.00237 (val 0.00243)

========== config 256x4 ==========
---- baseline 256x4 ----
Trainable parameters: 718,963
Epoch   0 | train 0.653686 | val 0.550889 | lr 1.0e-04
Epoch  10 | train 0.042357 | val 0.038282 | lr 1.0e-04
Epoch  20 | train 0.016773 | val 0.014856 | lr 1.0e-04
Epoch  30 | train 0.011702 | val 0.009625 | lr 1.0e-04
Epoch  40 | train 0.008971 | val 0.006805 | lr 1.0e-04
Epoch  50 | train 0.007129 | val 0.005244 | lr 1.0e-04
Epoch  60 | train 0.005901 | val 0.004232 | lr 1.0e-04
Epoch  70 | train 0.006049 | val 0.003567 | lr 1.0e-04
Epoch  80 | train 0.004186 | val 0.003052 | lr 1.0e-04
Epoch  90 | train 0.004359 | val 0.002847 | lr 1.0e-04
Epoch 100 | train 0.004724 | val 0.002359 | lr 2.0e-05
Epoch 110 | train 0.003828 | val 0.002348 | lr 2.0e-05
Epoch 120 | train 0.003364 | val 0.002243 | lr 4.0e-06
Epoch 130 | train 0.003947 | val 0.002232 | lr 4.0e-06
Epoch 140 | train 0.004201 | val 0.002202 | lr 8.0e-07
Epoch 150 | train 0.003203 | val 0.002207 | lr 8.0e-07
Epoch 160 | train 0.003686 | val 0.002240 | lr 1.6e-07
Epoch 170 | train 0.003739 | val 0.002224 | lr 1.6e-07
Epoch 180 | train 0.003974 | val 0.002201 | lr 3.2e-08
Epoch 190 | train 0.004094 | val 0.002199 | lr 6.4e-09
Epoch 200 | train 0.004202 | val 0.002236 | lr 6.4e-09
Epoch 210 | train 0.003761 | val 0.002220 | lr 6.4e-09
Epoch 220 | train 0.003501 | val 0.002201 | lr 6.4e-09
Epoch 230 | train 0.003807 | val 0.002203 | lr 6.4e-09
Epoch 240 | train 0.003641 | val 0.002230 | lr 6.4e-09
Epoch 250 | train 0.003773 | val 0.002269 | lr 6.4e-09
Epoch 260 | train 0.003802 | val 0.002220 | lr 6.4e-09
Epoch 270 | train 0.003685 | val 0.002204 | lr 6.4e-09
Epoch 280 | train 0.003778 | val 0.002205 | lr 6.4e-09
Epoch 290 | train 0.003967 | val 0.002237 | lr 6.4e-09
Epoch 300 | train 0.003722 | val 0.002216 | lr 6.4e-09
Epoch 310 | train 0.003490 | val 0.002222 | lr 6.4e-09
Epoch 320 | train 0.003639 | val 0.002198 | lr 6.4e-09
Epoch 330 | train 0.003947 | val 0.002230 | lr 6.4e-09
Epoch 340 | train 0.003636 | val 0.002212 | lr 6.4e-09
Epoch 350 | train 0.003867 | val 0.002218 | lr 6.4e-09
Epoch 360 | train 0.003673 | val 0.002200 | lr 6.4e-09
Epoch 370 | train 0.003670 | val 0.002177 | lr 6.4e-09
Epoch 380 | train 0.003987 | val 0.002208 | lr 6.4e-09
Epoch 390 | train 0.003395 | val 0.002195 | lr 6.4e-09
Epoch 400 | train 0.003910 | val 0.002184 | lr 6.4e-09
Epoch 410 | train 0.003596 | val 0.002192 | lr 6.4e-09
Epoch 420 | train 0.004063 | val 0.002170 | lr 6.4e-09
Epoch 430 | train 0.003592 | val 0.002196 | lr 6.4e-09
Epoch 440 | train 0.004021 | val 0.002209 | lr 6.4e-09
Epoch 450 | train 0.003876 | val 0.002242 | lr 6.4e-09
Epoch 460 | train 0.003380 | val 0.002199 | lr 6.4e-09
Epoch 470 | train 0.004144 | val 0.002216 | lr 6.4e-09
Epoch 480 | train 0.003274 | val 0.002209 | lr 6.4e-09
Epoch 490 | train 0.003489 | val 0.002212 | lr 6.4e-09

Done in 16.7 min. Best val loss: 0.002170
Saved best checkpoint to: ckpts/sweep_1x1_baseline_256x4.pt
---- neighbourhood 256x4 ----
Trainable parameters: 727,155
Epoch   0 | train 0.658837 | val 0.557411 | lr 1.0e-04
Epoch  10 | train 0.039623 | val 0.035397 | lr 1.0e-04
Epoch  20 | train 0.015584 | val 0.013724 | lr 1.0e-04
Epoch  30 | train 0.009854 | val 0.008255 | lr 1.0e-04
Epoch  40 | train 0.008030 | val 0.005853 | lr 1.0e-04
Epoch  50 | train 0.006790 | val 0.004490 | lr 1.0e-04
Epoch  60 | train 0.004988 | val 0.003581 | lr 1.0e-04
Epoch  70 | train 0.004987 | val 0.003012 | lr 1.0e-04
Epoch  80 | train 0.004292 | val 0.002541 | lr 1.0e-04
Epoch  90 | train 0.005456 | val 0.002307 | lr 1.0e-04
Epoch 100 | train 0.003631 | val 0.002034 | lr 2.0e-05
Epoch 110 | train 0.004277 | val 0.001942 | lr 2.0e-05
Epoch 120 | train 0.003851 | val 0.001919 | lr 2.0e-05
Epoch 130 | train 0.003508 | val 0.001900 | lr 4.0e-06
Epoch 140 | train 0.003405 | val 0.001873 | lr 8.0e-07
Epoch 150 | train 0.003281 | val 0.001844 | lr 1.6e-07
Epoch 160 | train 0.003394 | val 0.001870 | lr 3.2e-08
Epoch 170 | train 0.003159 | val 0.001861 | lr 6.4e-09
Epoch 180 | train 0.002955 | val 0.001853 | lr 6.4e-09
Epoch 190 | train 0.003817 | val 0.001883 | lr 6.4e-09
Epoch 200 | train 0.003661 | val 0.001863 | lr 6.4e-09
Epoch 210 | train 0.003041 | val 0.001859 | lr 6.4e-09
Epoch 220 | train 0.003501 | val 0.001858 | lr 6.4e-09
Epoch 230 | train 0.003363 | val 0.001872 | lr 6.4e-09
Epoch 240 | train 0.003395 | val 0.001878 | lr 6.4e-09
Epoch 250 | train 0.003547 | val 0.001842 | lr 6.4e-09
Epoch 260 | train 0.003564 | val 0.001879 | lr 6.4e-09
Epoch 270 | train 0.003778 | val 0.001864 | lr 6.4e-09
Epoch 280 | train 0.003431 | val 0.001859 | lr 6.4e-09
Epoch 290 | train 0.003010 | val 0.001853 | lr 6.4e-09
Epoch 300 | train 0.003104 | val 0.001835 | lr 6.4e-09
Epoch 310 | train 0.003610 | val 0.001841 | lr 6.4e-09
Epoch 320 | train 0.003431 | val 0.001849 | lr 6.4e-09
Epoch 330 | train 0.002963 | val 0.001852 | lr 6.4e-09
Epoch 340 | train 0.003757 | val 0.001873 | lr 6.4e-09
Epoch 350 | train 0.002926 | val 0.001850 | lr 6.4e-09
Epoch 360 | train 0.003562 | val 0.001873 | lr 6.4e-09
Epoch 370 | train 0.003583 | val 0.001872 | lr 6.4e-09
Epoch 380 | train 0.003162 | val 0.001833 | lr 6.4e-09
Epoch 390 | train 0.003423 | val 0.001872 | lr 6.4e-09
Epoch 400 | train 0.003915 | val 0.001852 | lr 6.4e-09
Epoch 410 | train 0.003237 | val 0.001847 | lr 6.4e-09
Epoch 420 | train 0.003285 | val 0.001883 | lr 6.4e-09
Epoch 430 | train 0.003295 | val 0.001859 | lr 6.4e-09
Epoch 440 | train 0.003712 | val 0.001887 | lr 6.4e-09
Epoch 450 | train 0.003087 | val 0.001847 | lr 6.4e-09
Epoch 460 | train 0.003623 | val 0.001860 | lr 6.4e-09
Epoch 470 | train 0.003443 | val 0.001854 | lr 6.4e-09
Epoch 480 | train 0.003335 | val 0.001848 | lr 6.4e-09
Epoch 490 | train 0.003303 | val 0.001867 | lr 6.4e-09

Done in 0.7 min. Best val loss: 0.001833
Saved best checkpoint to: ckpts/sweep_1x1_neigh_256x4.pt
[256x4] baseline test 0.00219 (val 0.00217) | neigh test 0.00185 (val 0.00183)

========== config 512x4 ==========
---- baseline 512x4 ----
Trainable parameters: 1,825,139
Epoch   0 | train 0.555709 | val 0.470175 | lr 1.0e-04
Epoch  10 | train 0.015457 | val 0.013229 | lr 1.0e-04
Epoch  20 | train 0.008729 | val 0.006679 | lr 1.0e-04
Epoch  30 | train 0.006133 | val 0.004278 | lr 1.0e-04
Epoch  40 | train 0.005503 | val 0.003441 | lr 1.0e-04
Epoch  50 | train 0.004273 | val 0.002796 | lr 1.0e-04
Epoch  60 | train 0.004384 | val 0.002249 | lr 1.0e-04
Epoch  70 | train 0.003445 | val 0.001809 | lr 2.0e-05
Epoch  80 | train 0.003533 | val 0.001759 | lr 2.0e-05
Epoch  90 | train 0.003249 | val 0.001657 | lr 4.0e-06
Epoch 100 | train 0.003593 | val 0.001642 | lr 4.0e-06
Epoch 110 | train 0.003092 | val 0.001644 | lr 8.0e-07
Epoch 120 | train 0.002800 | val 0.001648 | lr 1.6e-07
Epoch 130 | train 0.002849 | val 0.001632 | lr 3.2e-08
Epoch 140 | train 0.003061 | val 0.001641 | lr 6.4e-09
Epoch 150 | train 0.003186 | val 0.001639 | lr 6.4e-09
Epoch 160 | train 0.002849 | val 0.001654 | lr 6.4e-09
Epoch 170 | train 0.003360 | val 0.001650 | lr 6.4e-09
Epoch 180 | train 0.003125 | val 0.001644 | lr 6.4e-09
Epoch 190 | train 0.003219 | val 0.001649 | lr 6.4e-09
Epoch 200 | train 0.003511 | val 0.001628 | lr 6.4e-09
Epoch 210 | train 0.003131 | val 0.001636 | lr 6.4e-09
Epoch 220 | train 0.003156 | val 0.001639 | lr 6.4e-09
Epoch 230 | train 0.003435 | val 0.001622 | lr 6.4e-09
Epoch 240 | train 0.003696 | val 0.001637 | lr 6.4e-09
Epoch 250 | train 0.002948 | val 0.001627 | lr 6.4e-09
Epoch 260 | train 0.003414 | val 0.001617 | lr 6.4e-09
Epoch 270 | train 0.003472 | val 0.001624 | lr 6.4e-09
Epoch 280 | train 0.003735 | val 0.001639 | lr 6.4e-09
Epoch 290 | train 0.002777 | val 0.001649 | lr 6.4e-09
Epoch 300 | train 0.002706 | val 0.001612 | lr 6.4e-09
Epoch 310 | train 0.003210 | val 0.001626 | lr 6.4e-09
Epoch 320 | train 0.002865 | val 0.001625 | lr 6.4e-09
Epoch 330 | train 0.003127 | val 0.001618 | lr 6.4e-09
Epoch 340 | train 0.002596 | val 0.001634 | lr 6.4e-09
Epoch 350 | train 0.003369 | val 0.001652 | lr 6.4e-09
Epoch 360 | train 0.003262 | val 0.001651 | lr 6.4e-09
Epoch 370 | train 0.003351 | val 0.001639 | lr 6.4e-09
Epoch 380 | train 0.003456 | val 0.001626 | lr 6.4e-09
Epoch 390 | train 0.003259 | val 0.001657 | lr 6.4e-09
Epoch 400 | train 0.002743 | val 0.001652 | lr 6.4e-09
Epoch 410 | train 0.003011 | val 0.001648 | lr 6.4e-09
Epoch 420 | train 0.002951 | val 0.001644 | lr 6.4e-09
Epoch 430 | train 0.002595 | val 0.001639 | lr 6.4e-09
Epoch 440 | train 0.003042 | val 0.001642 | lr 6.4e-09
Epoch 450 | train 0.003463 | val 0.001632 | lr 6.4e-09
Epoch 460 | train 0.003847 | val 0.001632 | lr 6.4e-09
Epoch 470 | train 0.002641 | val 0.001631 | lr 6.4e-09
Epoch 480 | train 0.003571 | val 0.001674 | lr 6.4e-09
Epoch 490 | train 0.003222 | val 0.001630 | lr 6.4e-09

Done in 1.0 min. Best val loss: 0.001612
Saved best checkpoint to: ckpts/sweep_1x1_baseline_512x4.pt
---- neighbourhood 512x4 ----
Trainable parameters: 1,841,523
Epoch   0 | train 0.542705 | val 0.458655 | lr 1.0e-04
Epoch  10 | train 0.014724 | val 0.012289 | lr 1.0e-04
Epoch  20 | train 0.007458 | val 0.005904 | lr 1.0e-04
