epoch,train,val
0,0.613322,0.553496
10,0.066006,0.09175
20,0.041829,0.067677
30,0.029771,0.062828
40,0.022518,0.059469
50,0.019258,0.057362
60,0.015685,0.054497
70,0.013476,0.054328
80,0.01167,0.052556
90,0.010585,0.052678
100,0.009733,0.051622
110,0.008161,0.051324
120,0.007991,0.051242
130,0.007307,0.05059
140,0.007078,0.050402
150,0.005824,0.050219
160,0.005728,0.049402
170,0.005386,0.049063
180,0.005041,0.048322
190,0.004285,0.048634
200,0.003895,0.048764
210,0.003843,0.048709
220,0.003786,0.048695
230,0.003726,0.048574
240,0.004122,0.048828
250,0.00333,0.048554
260,0.003878,0.048756
270,0.003673,0.048711
280,0.003443,0.048571
290,0.003525,0.048602
300,0.00369,0.048718
310,0.003611,0.048598
320,0.003633,0.048482
330,0.003839,0.048676
340,0.004104,0.04875
350,0.003759,0.048654
360,0.003919,0.048684
370,0.003507,0.048735
380,0.003545,0.048704
390,0.003432,0.048715
400,0.003847,0.048721
410,0.003658,0.048676
420,0.003976,0.048783
430,0.003731,0.048822
440,0.003509,0.048588
450,0.003762,0.0488
460,0.00365,0.048583
470,0.003548,0.048686
480,0.003584,0.048672
490,0.003474,0.048665
