epoch,train,val
0,0.737964,0.605412
10,0.175043,0.190173
20,0.104877,0.123881
30,0.082697,0.100911
40,0.069282,0.086089
50,0.059978,0.075743
60,0.054291,0.069134
70,0.04947,0.064647
80,0.046385,0.061624
90,0.043181,0.059677
100,0.040606,0.058146
110,0.03826,0.057188
120,0.035792,0.056715
130,0.033433,0.055877
140,0.030811,0.055731
150,0.029379,0.055442
160,0.027221,0.055599
170,0.025554,0.055083
180,0.023499,0.05525
190,0.022153,0.055278
200,0.020968,0.054861
210,0.019539,0.05457
220,0.018995,0.054839
230,0.017997,0.054591
240,0.016749,0.054538
250,0.015499,0.05484
260,0.015291,0.054352
270,0.0143,0.054356
280,0.013975,0.053827
290,0.012965,0.05437
300,0.012131,0.054306
310,0.011376,0.054089
320,0.010757,0.054418
330,0.010977,0.054082
340,0.010238,0.054461
350,0.009821,0.054164
360,0.010153,0.054313
370,0.00936,0.054323
380,0.00962,0.054403
390,0.009962,0.054347
400,0.009313,0.05428
410,0.009564,0.054309
420,0.009526,0.054397
430,0.010275,0.054208
440,0.009784,0.054286
450,0.009806,0.054255
460,0.010277,0.054311
470,0.010426,0.054372
480,0.010069,0.05438
490,0.009459,0.054406
