epoch,train,val
0,0.2845357139594853,0.14573420211672783
10,0.005377718654926866,0.002598205639515072
20,0.004442894467501901,0.0022896737209521234
30,0.00491131839226,0.002056500525213778
40,0.0036288149713072926,0.0035774371935985982
50,0.0023826465840102173,0.0010703529405873269
60,0.0022825722917332314,0.0007239739206852391
70,0.002942454957519658,0.0008219187293434516
80,0.0023287230796995573,0.000647914464934729
90,0.002832819132891018,0.0005817229102831334
100,0.0021257869302644394,0.0006378804391715676
110,0.0019343909189046826,0.0006193879380589351
120,0.0016180817401618697,0.0005968078912701458
130,0.002416756462480407,0.0005823551473440602
140,0.0023163818841567263,0.0005959610571153462
150,0.001583182835020125,0.0005687424563802779
160,0.0018963977054227144,0.0006275747728068382
170,0.002191301973653026,0.000634534822893329
180,0.0023592844081576914,0.0005743457732023671
190,0.0020147768227616325,0.0005730889533879235
200,0.002209105856309179,0.0006626086687901989
210,0.0027099999897473026,0.0005784462118754163
220,0.0023532191189588048,0.000650767411570996
230,0.0020089377467229497,0.0005929065373493358
240,0.0020203156636853237,0.0006468051869887859
250,0.0018747099820757285,0.000569769530557096
260,0.0029359660766203888,0.0006108471570769325
270,0.0025183050711348187,0.0005951124330749735
280,0.002128875450580381,0.0005986492324154824
290,0.002181155996368034,0.0006749755702912807
300,0.002704492690099869,0.0005996614199830219
310,0.0018461503968865145,0.0005891619948670268
320,0.002500135378795676,0.0006768410094082355
330,0.0021470880819833837,0.000608762537012808
340,0.002757643786026165,0.000706605555023998
350,0.0019458251299511176,0.0006054600526113063
360,0.0024005169507290702,0.0005715190200135112
370,0.0020375971289468,0.0006225221004569903
380,0.0015098734838829841,0.0006054841651348397
390,0.0019760069517360535,0.0005876947252545506
400,0.0017617152698221616,0.0005983052687952295
410,0.0016415677382610738,0.0005914475914323702
420,0.0018076554515573662,0.0006182928336784244
430,0.0020431379016372375,0.0005732648860430345
440,0.002145768092304934,0.0005906112201046199
450,0.0016150490118889138,0.0005847825814271346
460,0.0017529097458464094,0.0006075650744605809
470,0.001962207992619369,0.0005887233419343829
480,0.002897747588576749,0.0006090972892707214
490,0.0018022065705736168,0.0005619933508569375
