epoch,train_beta2,val_mse
0,0.18294928967952728,0.13637715578079224
1,0.16082831472158432,0.09328010678291321
2,0.11168927140533924,0.0815841406583786
3,0.10009198635816574,0.06227945536375046
4,0.09147421643137932,0.06309694796800613
5,0.09283757582306862,0.061300892382860184
6,0.08834388293325901,0.06210220977663994
7,0.08690523356199265,0.062023114413022995
8,0.08595838397741318,0.06088883429765701
9,0.08470912091434002,0.05876491963863373
10,0.08328462019562721,0.05783301964402199
11,0.08171209879219532,0.05773855745792389
12,0.08015070296823978,0.055942535400390625
13,0.0776519775390625,0.05518248304724693
14,0.07638381607830524,0.05414032191038132
15,0.07570811733603477,0.05334814637899399
16,0.0750421267002821,0.05337010696530342
17,0.07503586634993553,0.05362984165549278
18,0.07439563050866127,0.05315195024013519
19,0.07414064556360245,0.05327242240309715
20,0.07419241033494473,0.05268353223800659
21,0.07387613505125046,0.05242566764354706
22,0.07360505871474743,0.0529765710234642
23,0.07318595424294472,0.05184489116072655
24,0.0731465294957161,0.052562251687049866
25,0.07282296568155289,0.05175841972231865
26,0.07228061929345131,0.051532018929719925
27,0.07199649699032307,0.05078846588730812
28,0.07140949741005898,0.05084896460175514
29,0.07091296836733818,0.0500042550265789
30,0.07029996812343597,0.049284838140010834
31,0.06952369213104248,0.04881411790847778
32,0.06879713758826256,0.04850170016288757
33,0.06815232895314693,0.04850577935576439
34,0.06781678088009357,0.04837010055780411
35,0.06700052320957184,0.047866806387901306
36,0.0673496313393116,0.04764765128493309
37,0.06654525361955166,0.04767635837197304
38,0.06585710775107145,0.04776650294661522
39,0.06563860923051834,0.04672909900546074
40,0.06500399112701416,0.046684298664331436
41,0.06466710288077593,0.046424318104982376
42,0.06398951448500156,0.045598212629556656
43,0.06313320528715849,0.045136600732803345
44,0.06277632433921099,0.04498054459691048
45,0.062102075666189194,0.04391080141067505
46,0.06128272786736488,0.04430964216589928
47,0.060593568719923496,0.04248204827308655
48,0.060073163360357285,0.042230356484651566
49,0.05861296411603689,0.04224059358239174
50,0.057591996155679226,0.039934076368808746
51,0.05650364328175783,0.04130762815475464
52,0.055877131409943104,0.03994986414909363
53,0.05506818927824497,0.03988450765609741
54,0.05446266941726208,0.03960409387946129
55,0.053792741149663925,0.03889595717191696
56,0.05323211010545492,0.038353852927684784
57,0.05239963438361883,0.03809185326099396
58,0.05190704297274351,0.0377550832927227
59,0.0510000279173255,0.03656700626015663
60,0.050213832408189774,0.03698543831706047
61,0.04960648063570261,0.03616712987422943
62,0.04856874793767929,0.03610532358288765
63,0.0480846157297492,0.0353507399559021
64,0.04754485934972763,0.03545956686139107
65,0.047078898176550865,0.034681230783462524
66,0.046894132159650326,0.034514978528022766
67,0.046090422198176384,0.03419499844312668
68,0.04575745202600956,0.034744586795568466
69,0.045592392794787884,0.03374741971492767
70,0.04470313433557749,0.03303813561797142
71,0.04413858521729708,0.03338892012834549
72,0.043781070969998837,0.032710425555706024
73,0.043506854213774204,0.03254365921020508
74,0.04286749754101038,0.032776203006505966
75,0.04251664876937866,0.03180071711540222
76,0.041901033371686935,0.03201049938797951
77,0.041332462802529335,0.031807444989681244
78,0.04079945106059313,0.03126441314816475
79,0.04037964250892401,0.031140239909291267
80,0.03997030667960644,0.030745893716812134
81,0.03953143581748009,0.030792972072958946
82,0.03928637318313122,0.030009308829903603
83,0.03866494353860617,0.03029560297727585
84,0.038415408693253994,0.029836848378181458
85,0.03816293366253376,0.029805511236190796
86,0.037630558013916016,0.029402952641248703
87,0.037523286417126656,0.02917150780558586
88,0.03712931927293539,0.029058169573545456
89,0.036504813469946384,0.02894105389714241
90,0.03638733737170696,0.028393927961587906
91,0.035886225290596485,0.027996016666293144
92,0.035432142205536366,0.028472580015659332
93,0.035108341835439205,0.02729261852800846
94,0.03491191100329161,0.028029458597302437
95,0.03459843620657921,0.027048535645008087
96,0.03378575947135687,0.02710109017789364
97,0.03355865553021431,0.02674391120672226
98,0.03341078106313944,0.026440707966685295
99,0.033134724013507366,0.0266511719673872
100,0.03313879016786814,0.02626161277294159
101,0.032643938437104225,0.025922007858753204
102,0.03254938451573253,0.02649206481873989
103,0.0322102508507669,0.026058107614517212
104,0.03175065526738763,0.025624293833971024
105,0.031712915282696486,0.025351446121931076
106,0.031139164697378874,0.02588251605629921
107,0.030925271101295948,0.024643687531352043
108,0.030744613613933325,0.025449706241488457
109,0.030295364558696747,0.024928966537117958
110,0.03012597281485796,0.024754958227276802
111,0.02993069402873516,0.024641381576657295
112,0.029706942848861217,0.024875110015273094
113,0.029476366471499205,0.024723881855607033
114,0.029398213140666485,0.024379413574934006
115,0.028952980879694223,0.024381699040532112
116,0.028797348495572805,0.02425524964928627
117,0.028570708818733692,0.02446419931948185
118,0.028420455288141966,0.02413378655910492
119,0.02822396671399474,0.02399618923664093
120,0.028080356307327747,0.02428419142961502
121,0.027795780915766954,0.02381817251443863
122,0.0277560674585402,0.024008117616176605
123,0.027454166673123837,0.023718329146504402
124,0.02724371151998639,0.02371346391737461
125,0.027214255649596453,0.024048732593655586
126,0.02705978788435459,0.023511014878749847
127,0.026900377590209246,0.023542115464806557
128,0.026599476113915443,0.023511052131652832
129,0.026485243812203407,0.023456841707229614
130,0.026378236711025238,0.02344496361911297
131,0.0260513867251575,0.023418858647346497
132,0.025934386998414993,0.02328009530901909
133,0.025925257243216038,0.023465175181627274
134,0.025916522834450006,0.023133091628551483
135,0.02555368561297655,0.023102501407265663
136,0.025312898214906454,0.022941909730434418
137,0.02537703327834606,0.023300625383853912
138,0.025240583810955286,0.022968381643295288
139,0.024946526624262333,0.02301618829369545
140,0.024963355157524347,0.02309899777173996
