epoch,train,val
0,0.596005,0.581669
10,0.05312,0.060454
20,0.043336,0.052607
30,0.036761,0.048373
40,0.030675,0.046116
50,0.025218,0.045101
60,0.020757,0.045034
70,0.017502,0.044731
80,0.014229,0.044863
90,0.012284,0.04424
100,0.010611,0.043885
110,0.00972,0.043887
120,0.008734,0.044289
130,0.007896,0.044306
140,0.007267,0.04381
150,0.007234,0.044219
160,0.00633,0.043892
170,0.005865,0.044272
180,0.005479,0.044954
190,0.005157,0.044361
200,0.005262,0.043264
210,0.00474,0.043191
220,0.004461,0.044212
230,0.00466,0.042471
240,0.00351,0.043883
250,0.003581,0.043797
260,0.003583,0.043984
270,0.003577,0.043874
280,0.003427,0.043958
290,0.003616,0.043989
300,0.003604,0.043905
310,0.003611,0.043901
320,0.003606,0.043863
330,0.003659,0.043864
340,0.003825,0.04392
350,0.003429,0.043828
360,0.003697,0.043937
370,0.003729,0.043888
380,0.00367,0.043916
390,0.003933,0.043939
400,0.003807,0.043893
410,0.003687,0.043886
420,0.003743,0.043904
430,0.003634,0.043769
440,0.00346,0.043895
450,0.003515,0.043945
460,0.00349,0.043905
470,0.00336,0.043904
480,0.003911,0.04387
490,0.003705,0.043807
