epoch,train,val
0,0.491446,0.494313
10,0.043781,0.054588
20,0.024972,0.051399
30,0.017741,0.048949
40,0.014294,0.048171
50,0.010922,0.047536
60,0.010203,0.047669
70,0.008066,0.046916
80,0.008319,0.047782
90,0.006656,0.047326
100,0.006676,0.047366
110,0.006609,0.047427
120,0.005682,0.048561
130,0.006068,0.048416
140,0.003565,0.046483
150,0.003163,0.046608
160,0.003164,0.04733
170,0.003158,0.046902
180,0.003281,0.046972
190,0.002822,0.046846
200,0.002799,0.047147
210,0.002721,0.047065
220,0.002883,0.047048
230,0.003121,0.047395
240,0.002712,0.0471
250,0.003062,0.046875
260,0.00302,0.046817
270,0.003231,0.047028
280,0.002918,0.047076
290,0.002845,0.046994
300,0.002964,0.047249
310,0.002662,0.047025
320,0.002782,0.046794
330,0.002743,0.046945
340,0.003414,0.047007
350,0.002683,0.047116
360,0.002786,0.047086
370,0.003171,0.046881
380,0.002918,0.046834
390,0.002901,0.047014
400,0.002918,0.046906
410,0.003143,0.04702
420,0.003217,0.046924
430,0.002794,0.047001
440,0.002634,0.046862
450,0.00267,0.047135
460,0.00266,0.046989
470,0.003075,0.046986
480,0.00273,0.046986
490,0.002627,0.046921
