epoch,train,val
0,0.75912,0.613669
10,0.342037,0.343685
20,0.183872,0.197449
30,0.12664,0.142635
40,0.10328,0.118254
50,0.089228,0.103215
60,0.079131,0.092663
70,0.071498,0.084782
80,0.065865,0.078319
90,0.061614,0.073812
100,0.057944,0.070207
110,0.055133,0.067373
120,0.052884,0.06493
130,0.050769,0.062944
140,0.049297,0.061536
150,0.047595,0.06
160,0.046318,0.058933
170,0.044809,0.057745
180,0.043889,0.056693
190,0.04262,0.055837
200,0.041289,0.054919
210,0.04043,0.054491
220,0.039682,0.053724
230,0.038063,0.053415
240,0.037406,0.052947
250,0.036332,0.052479
260,0.035282,0.051885
270,0.034273,0.051685
280,0.033044,0.051322
290,0.03209,0.051262
300,0.03093,0.05105
310,0.030286,0.050692
320,0.029147,0.050689
330,0.02859,0.050703
340,0.027146,0.050677
350,0.026635,0.050737
360,0.025897,0.050628
370,0.025155,0.050531
380,0.02433,0.050478
390,0.023388,0.050737
400,0.022373,0.050565
410,0.021994,0.050709
420,0.021066,0.050695
430,0.020709,0.050905
440,0.020096,0.050778
450,0.019652,0.050961
460,0.019227,0.050971
470,0.018449,0.050818
480,0.017409,0.050682
490,0.017516,0.050722
