epoch,train,val
0,0.709036,0.589917
10,0.101083,0.121365
20,0.069726,0.091713
30,0.055379,0.077017
40,0.046856,0.069457
50,0.040511,0.064974
60,0.034688,0.062326
70,0.03022,0.061179
80,0.025736,0.060032
90,0.022959,0.059744
100,0.020187,0.059101
110,0.018651,0.058499
120,0.016565,0.057849
130,0.015612,0.057353
140,0.013839,0.056509
150,0.012563,0.056009
160,0.011946,0.055373
170,0.01126,0.055483
180,0.010063,0.055493
190,0.010173,0.055005
200,0.009048,0.054586
210,0.008587,0.053779
220,0.007972,0.053975
230,0.007429,0.053709
240,0.006748,0.053974
250,0.006784,0.053797
260,0.006334,0.053678
270,0.005603,0.05391
280,0.005427,0.053741
290,0.005731,0.053736
300,0.005215,0.053642
310,0.005669,0.053587
320,0.005515,0.053788
330,0.005404,0.053669
340,0.005189,0.05373
350,0.005269,0.053609
360,0.005477,0.053955
370,0.005129,0.053753
380,0.005245,0.053658
390,0.005189,0.053738
400,0.00521,0.05366
410,0.005087,0.053822
420,0.00505,0.053572
430,0.005218,0.053978
440,0.005787,0.0537
450,0.005148,0.053912
460,0.004916,0.053901
470,0.005434,0.053833
480,0.005554,0.05361
490,0.005008,0.053683
