epoch,train,val
0,0.676384,0.613602
10,0.263483,0.263693
20,0.113984,0.119851
30,0.071185,0.076936
40,0.059292,0.064987
50,0.055063,0.06069
60,0.052731,0.05827
70,0.05098,0.056294
80,0.048982,0.054505
90,0.047001,0.05297
100,0.045752,0.051538
110,0.044225,0.050192
120,0.042737,0.049018
130,0.041595,0.047835
140,0.0403,0.046805
150,0.039563,0.045773
160,0.038446,0.044948
170,0.037809,0.044015
180,0.036402,0.043268
190,0.034988,0.042557
200,0.034226,0.041816
210,0.033092,0.041106
220,0.031712,0.040495
230,0.030907,0.03984
240,0.029579,0.039311
250,0.028272,0.038771
260,0.027112,0.038235
270,0.026493,0.038033
280,0.025038,0.037516
290,0.024034,0.037244
300,0.02322,0.037072
310,0.022132,0.03682
320,0.021135,0.036641
330,0.021457,0.036631
340,0.019909,0.036605
350,0.01921,0.036551
360,0.01838,0.036404
370,0.017615,0.036429
380,0.017267,0.036479
390,0.016601,0.036406
400,0.016688,0.036635
410,0.015728,0.036692
420,0.015587,0.03663
430,0.015009,0.036606
440,0.014785,0.036812
450,0.014084,0.036951
460,0.014006,0.036899
470,0.013602,0.037029
480,0.013331,0.037067
490,0.01297,0.037092
