epoch,train_beta2,val_mse
0,0.08935782630806384,0.050822683192532636
1,0.06762820200427719,0.0418594155845971
2,0.0553792797676895,0.03534961132139995
3,0.04731111432547155,0.03208777700261823
4,0.042942407046971116,0.028195413536038893
5,0.04039923697710037,0.02715530965862603
6,0.038633804897899214,0.025811609458820575
7,0.035089068876012514,0.022776462523073984
8,0.031924319445439005,0.02115890736980685
9,0.029956576535883156,0.020551871444130766
10,0.028424822069380594,0.019451970041825854
11,0.026832854326652444,0.01739670304131919
12,0.025170774207167002,0.017091564898347032
13,0.02413733980577925,0.01624412571304831
14,0.023027714050334432,0.015505369110354062
15,0.022008009708446005,0.0144243526176132
16,0.02113149499763613,0.014353750883762178
17,0.020220518355136333,0.013699702822185796
18,0.01952845395907112,0.013497000977653882
19,0.01901966179518596,0.012479207093088791
20,0.018436683503829914,0.012477165666119805
21,0.018063642926838087,0.012104959195030147
22,0.017523671783830807,0.012053545692871356
23,0.017219407200489357,0.011740426693497032
24,0.016916229422001734,0.01136707935225347
25,0.016644654269127743,0.011415929790457776
26,0.01634989612452362,0.011666586494137501
27,0.016121805961365285,0.011084493988289916
28,0.015953559055924417,0.010890601234960145
29,0.015738421613755434,0.010846751774179524
30,0.015543099751938945,0.010630363662695062
31,0.015463211597955745,0.010631725609559438
32,0.015323649581683719,0.010620986561066118
33,0.01509139967839355,0.010372314409449183
34,0.01502414036380208,0.010235093983596769
35,0.014833985414841901,0.010074306536337426
36,0.014813087985891362,0.010084415882312018
37,0.014606913940414138,0.010174842808267167
38,0.014560139802810939,0.00988290128137531
39,0.014424700370949247,0.009984884186294573
40,0.014356797180421974,0.00977383595730724
41,0.014254302134656388,0.009764949341529402
42,0.014327382595966692,0.00970589032332445
43,0.014065749003835346,0.009785535488406131
44,0.014025824994820616,0.009653712911852476
45,0.014094789561046206,0.009643860514564761
46,0.01401210489642361,0.009768674631827864
47,0.013892370187070058,0.009564949777619592
48,0.013852026151574177,0.009543056599795818
49,0.01378900371491909,0.009450546851188972
50,0.013671094494993272,0.009308400467551988
51,0.01365581558936316,0.00951792046042352
52,0.013606254570186138,0.009720519152951652
53,0.013591169622605261,0.009440365151084703
54,0.013494225712897984,0.009348951537033608
55,0.013451863566170568,0.00925438269844343
56,0.013393514975905418,0.009405972725101587
57,0.013333985986916916,0.009356732769259092
58,0.01328649997063305,0.009283049706498096
59,0.013390080663173095,0.009332066305495542
60,0.013247234455269315,0.009019522317524615
61,0.013167086616158485,0.009142994752217984
62,0.013137111011082711,0.00916991267224838
63,0.013085303066865258,0.009179658128012871
64,0.013098484383005163,0.009125025814463353
65,0.013043464218144831,0.008971152249081382
66,0.012967378565150758,0.00903272866432009
67,0.013021099429739558,0.009139738912726271
68,0.013049668640546177,0.00894568166856108
69,0.012897625346870526,0.008977940659327754
70,0.012901219984759455,0.008953607384243915
71,0.012780517234426478,0.008798318304892245
72,0.012788103553264037,0.008956503668992684
73,0.012786793838376585,0.008885165291099712
74,0.012730497202795486,0.008690406311431835
75,0.012702234113669914,0.008870295826987973
76,0.01274741706640824,0.008766821521366465
77,0.012613225347645904,0.008813257586082509
78,0.012636069491829561,0.008843595097804892
79,0.012635442112451014,0.00876964384625698
80,0.012518478047264659,0.008502369521763819
81,0.012544461768930372,0.008630740552626807
82,0.012511086334352908,0.008622231122491688
83,0.012496150374088598,0.008781057236523464
84,0.012459043486286764,0.008692288803386277
85,0.012502312571134256,0.008537649755077115
86,0.012415444405506487,0.008540778083662534
87,0.012413494855813358,0.008697539985436818
88,0.012367310634125835,0.008630786797609823
89,0.01235922842246035,0.00855953553049215
90,0.012291629069849201,0.008704541443750775
91,0.012317417748272419,0.008507610844640896
92,0.01227144147876812,0.008778120776445702
93,0.01223984281330005,0.00858869838753137
94,0.0122188671613517,0.008512917183468053
95,0.01219908300301303,0.008649023892036799
96,0.012167807822318182,0.008467641000732266
97,0.012219026312232017,0.008323266315434513
98,0.012180129454835601,0.008614387812799421
99,0.012175882891144442,0.008306439885676935
100,0.012087607270349627,0.008619488377509445
101,0.012084743194282054,0.0084220038341551
102,0.012091296684482822,0.008365824369007143
103,0.012037974069623843,0.008308172611327007
104,0.012007850740590822,0.008534361977644008
105,0.012028563905345357,0.008405100457884115
106,0.012018434938205326,0.008522274630979217
107,0.011987070131884969,0.008355273688533183
108,0.011944529397980026,0.008315149196905309
109,0.011915453920221848,0.008247247575942812
110,0.011928858850961146,0.008201925405140581
111,0.011931029529027318,0.00836663765447407
112,0.011865503640602465,0.008291708353649953
113,0.011853059389345024,0.008299222135723665
114,0.011873219648133154,0.008313651790778184
115,0.011834562156835328,0.008293584583262945
116,0.01176643778934427,0.008319368537772319
117,0.011787209424959576,0.008261056616902351
118,0.01175976236877234,0.008118571280020064
119,0.011724534768449224,0.008078120472230789
120,0.011688601428075977,0.008283157608118551
121,0.011676803449897662,0.008236495264131448
122,0.011652228543939798,0.008197819669570389
123,0.011664220067146031,0.00805651351552585
124,0.011631586669903734,0.008104432374238968
125,0.011652833636364211,0.00825060245677315
126,0.011612115654608478,0.008035536341626069
127,0.011601187612699427,0.008228001794938383
128,0.011553836419530537,0.008219644347013071
129,0.011565585879851943,0.008037326841390338
130,0.011607184852270976,0.007990595997022143
131,0.01152935746409323,0.008105719173005942
132,0.01148339141484188,0.008151529677982989
133,0.011487598563341991,0.008072541464633983
134,0.011462888526527777,0.007957492826570725
135,0.011449655347868152,0.008062674503388077
136,0.011457245124746924,0.008089388800977633
137,0.01139476149464431,0.00799406356788401
138,0.011411077245745969,0.008108619761107296
139,0.011373707255267578,0.007939770303923508
140,0.011369501062385413,0.007985652729483515
141,0.011362204401065473,0.00798072063781578
142,0.011337206917612449,0.00798931955520449
143,0.011304942372700442,0.008016019481523284
144,0.011310426915145439,0.007984478733149069
145,0.011295784224310646,0.00791007031461802
146,0.011251571806876555,0.00788282863153466
147,0.011212596920845301,0.00801250031860224
148,0.01124123808644388,0.007978545742687481
149,0.0112257262205948,0.007838628303002694
150,0.011183213604533154,0.00804232149224343
151,0.011148655106839926,0.007924849360153592
152,0.01114721917749747,0.007886448971413332
153,0.011140592007533364,0.007904689662672323
154,0.011114449863848479,0.007867223117500544
155,0.011138685703601527,0.007701362884635556
156,0.011122704645537811,0.007829462322567043
157,0.011080795372633831,0.007703857978099379
158,0.011071701987606028,0.007865397725254297
159,0.011038688165338144,0.007755476788714014
160,0.011026224712638751,0.007734265403244002
161,0.011023623909315338,0.007835879809512147
162,0.010993157027532225,0.007820834164860947
163,0.01099037651134574,0.007717699262088743
164,0.010980622867203277,0.0076602899212518645
165,0.010986150598720363,0.007723434234102224
166,0.01096670310134473,0.007687264057839739
167,0.010935847469322059,0.007617542520165443
168,0.010925097552978474,0.007719867092011304
169,0.01090724769493808,0.007666813739543331
170,0.010894058199356432,0.007719986028326997
171,0.010849462457649086,0.007615540112400877
172,0.010851192782106606,0.007791226697636062
173,0.010845521869866745,0.007736142226976567
174,0.010811501069237357,0.007566353916351138
175,0.010805000259500482,0.007706362127872376
176,0.01079543329289426,0.00760357223194221
177,0.010770388295793016,0.0075434920506487636
178,0.01079258300849925,0.007548152051609138
179,0.0107506960792386,0.007658914711069444
180,0.010744238272309303,0.007563783530274342
181,0.010691281302791575,0.007475343356230135
182,0.010698563014359577,0.00753598021150663
183,0.010681033725647823,0.0074879158256125865
184,0.010685005371013414,0.007558683929001463
185,0.010671280292065247,0.007506517789744097
186,0.010654512541773527,0.007585583062007509
187,0.010621216860802278,0.007524507377168228
188,0.010607242260290228,0.007502470229720247
189,0.010589235300279182,0.007473980911589902
190,0.01058395762482415,0.007419753932105056
191,0.010582351984213229,0.007587588681229229
192,0.010556894484097542,0.007493681370698172
193,0.01052655946949254,0.007502091679208237
194,0.010537752646790898,0.007468216105139461
195,0.010513004741590956,0.007451527462951068
196,0.010523692769524844,0.007481264737274112
197,0.01047466089544089,0.0074382627800363916
198,0.010473863642824733,0.0073693216906796245
199,0.01046591137090455,0.007413813715864872
200,0.010459137675554855,0.007385205959194693
201,0.010450466730348442,0.007440561589238973
202,0.010441346191193747,0.00742765217377194
203,0.010407847214652145,0.007481522087393136
204,0.010411336305348769,0.007393637318806401
205,0.010382730538106483,0.007356518542329813
206,0.010384936630725861,0.007414434586876425
207,0.01035466560203096,0.007410836389994827
208,0.010337870859581492,0.007390920586627105
209,0.010336156472887681,0.007324766833335161
210,0.01033426257579223,0.007296708862072435
211,0.010318193495597528,0.007358107699787822
212,0.01029044691797184,0.007405922876606728
213,0.010297745539118414,0.007387165783037399
214,0.010295325307094533,0.007265984803309728
215,0.010258426233802152,0.007302598738721733
216,0.0102594919340766,0.007330333653452067
217,0.010240730465106342,0.007360718630511185
218,0.010230878967305889,0.007289417248604627
219,0.010205126448493937,0.00733405488125723
220,0.010206600391994352,0.007253229216640365
221,0.010197424491786438,0.007372829163896626
222,0.010172075810639754,0.007317314325863945
223,0.010169736044886319,0.007357772455775532
224,0.010168441887135091,0.007270788789951596
225,0.010145805476476318,0.007231052017545906
226,0.010147678811589013,0.0072859173544265075
227,0.010122793783312259,0.007216386850281009
228,0.01012772447227136,0.007228146853118107
229,0.010111243585529535,0.007266166844758494
230,0.010098271744082803,0.0071897860937591256
231,0.010096042538466661,0.007244989324104169
232,0.010084316158748191,0.007212007562790452
233,0.010058871332717979,0.007166603515888083
234,0.010060429718831311,0.00720084025042838
235,0.010045539231404015,0.007236514786451027
236,0.01003570252948481,0.007202550335305518
237,0.0100225364546413,0.00721017695192633
238,0.010014211507919042,0.0072085729735935555
239,0.010015002378950949,0.0072077759702144
240,0.010000867898697438,0.007168400005019945
241,0.00999276955490527,0.007251042150089453
242,0.009985195586214895,0.007184304489657797
243,0.00997517956825702,0.00715560555971902
244,0.009963006850170052,0.007178867139436048
245,0.009957573222725287,0.007155089687299112
246,0.009953148339105688,0.0071853050191340775
247,0.009938690908577132,0.007163431784459229
248,0.009932389750104884,0.007140884159839359
249,0.009932295127731302,0.007189935924292639
250,0.009923927963751814,0.007145356724102949
251,0.00991304546756589,0.007118231905945416
252,0.00990596607165492,0.007144308938034649
253,0.00990059191118116,0.007184375832178469
254,0.009893120898176795,0.007136520399744141
255,0.009890879642056382,0.007128002186273706
256,0.00988139707757079,0.007133621208626649
257,0.009870277094128339,0.007150693587830354
258,0.009863040604345176,0.007092744963050917
259,0.009858239693162234,0.007112190882065173
260,0.009849322158033432,0.007118726968122968
261,0.009851235944939696,0.007099644329141954
262,0.009843992773929368,0.007085772504195057
263,0.009835590559827245,0.007113600872328569
264,0.009833269363836102,0.007110477280642452
265,0.009825087209110675,0.007095570804487015
266,0.009818229613744693,0.007116565657458429
267,0.009816878612922585,0.007102991293730407
268,0.009808176124225493,0.0070771493724194065
269,0.009800818432932314,0.007069423457543398
270,0.009796883368297763,0.007103761481442328
271,0.009793129028833432,0.007086806384653881
272,0.009789680843443975,0.007101285624606856
273,0.009785325347405413,0.007093100696159848
274,0.009781494291256304,0.007074913780750899
275,0.009776129346826801,0.0070974214227292045
276,0.009772773184206175,0.007064827332465813
277,0.00976905932083078,0.007063513669859746
278,0.009767482567416585,0.007078528388178554
279,0.009761141686011915,0.007082888679900046
280,0.009759234394068303,0.007073428706619246
281,0.00975618147007797,0.0070791538194592656
282,0.009754205049703951,0.007068376843656959
283,0.009749397190044756,0.007060771984658365
284,0.009748174565965715,0.007064559577225611
285,0.009744181945596052,0.007065424518980856
286,0.009742989196725513,0.007081967971191324
287,0.009738993677108183,0.007069554292307845
288,0.0097374912513339,0.007069436752976015
289,0.009736863353654094,0.007065447159753791
290,0.009734251949450243,0.007061392662982489
291,0.009732836622582829,0.007067838378635974
292,0.009731581491296706,0.007066530416366355
293,0.00972915715335504,0.007064698424575658
294,0.009728013683596383,0.00706580013100957
295,0.009726496964045192,0.007065346079139874
296,0.009725185370315676,0.007065678930616584
297,0.00972439573024926,0.007066047252637559
298,0.009724732812332071,0.007066095263922009
299,0.009724190580132215,0.007066048601449564
