epoch,train_beta2,val_mse
0,0.18286636099219322,0.13467518985271454
1,0.15371103584766388,0.08472160249948502
2,0.11061704345047474,0.07770092785358429
3,0.09563846699893475,0.06174762174487114
4,0.09293538518249989,0.0620683953166008
5,0.0914952028542757,0.06035167723894119
6,0.08734384551644325,0.0628107413649559
7,0.08749822154641151,0.06232365220785141
8,0.08636360056698322,0.06013192981481552
9,0.08541980758309364,0.059056222438812256
10,0.08394984155893326,0.05905526131391525
11,0.08165166713297367,0.05834014341235161
12,0.08016160875558853,0.05644117295742035
13,0.07858345098793507,0.05535590648651123
14,0.07657827064394951,0.05417396500706673
15,0.07563520222902298,0.05475993826985359
16,0.07504011876881123,0.05376069247722626
17,0.07453861832618713,0.0537693090736866
18,0.07413825392723083,0.053524769842624664
19,0.07397116906940937,0.0534554198384285
20,0.07385161705315113,0.05311715230345726
21,0.07374033518135548,0.05299518257379532
22,0.07358185388147831,0.05352972820401192
23,0.07374665513634682,0.053036052733659744
24,0.07317795231938362,0.05291547626256943
25,0.07328235171735287,0.052443064749240875
26,0.07291236147284508,0.051955629140138626
27,0.0722219180315733,0.052002426236867905
28,0.07175298035144806,0.05200529843568802
29,0.0713590681552887,0.050874263048172
30,0.07086493819952011,0.051050156354904175
31,0.07009349577128887,0.0502382330596447
32,0.06951726414263248,0.05063272640109062
33,0.06920654512941837,0.05023573711514473
34,0.06847911886870861,0.04941975697875023
35,0.06802472472190857,0.05006841570138931
36,0.0672406293451786,0.04970066249370575
37,0.06678390502929688,0.05047985538840294
38,0.06563203036785126,0.049377378076314926
39,0.06504008546471596,0.04939061030745506
40,0.06414296850562096,0.04921950027346611
41,0.06301291845738888,0.048286013305187225
42,0.06229413207620382,0.047672249376773834
43,0.06134068965911865,0.047207824885845184
44,0.06057352386415005,0.04644665867090225
45,0.05959734693169594,0.04525352269411087
46,0.05874683056026697,0.04401923343539238
47,0.058356720954179764,0.04392436146736145
48,0.057575587183237076,0.042923666536808014
49,0.057386438362300396,0.04247511550784111
50,0.056484365835785866,0.042341385036706924
51,0.05599163379520178,0.0419696643948555
52,0.05575524549931288,0.041418712586164474
53,0.05544524826109409,0.0421421080827713
54,0.05491685215383768,0.04063916951417923
55,0.0546164782717824,0.04134085401892662
56,0.05411542393267155,0.04024103283882141
57,0.05323810409754515,0.0400657057762146
58,0.05278345197439194,0.039892733097076416
59,0.052613381296396255,0.039713919162750244
60,0.052331225015223026,0.04041513800621033
61,0.05164061952382326,0.03879285231232643
62,0.051235939376056194,0.039565958082675934
63,0.050636217929422855,0.03883974254131317
64,0.05027950555086136,0.03877587243914604
65,0.04962620232254267,0.03864852339029312
66,0.04928658530116081,0.03789544105529785
67,0.048738633282482624,0.03817465528845787
68,0.04896143078804016,0.03811655193567276
69,0.04803628660738468,0.038205310702323914
70,0.04760801699012518,0.037115126848220825
71,0.0472925640642643,0.03711654245853424
72,0.047212070785462856,0.037269435822963715
73,0.0466909259557724,0.037383805960416794
74,0.04632946569472551,0.03636883199214935
75,0.04594235494732857,0.03668497875332832
76,0.04553855862468481,0.03592580556869507
77,0.045041424222290516,0.03627920523285866
78,0.044984172098338604,0.03601795434951782
79,0.044875808991491795,0.036140866577625275
80,0.04443425964564085,0.036139823496341705
81,0.04419521428644657,0.03542805463075638
82,0.04377985559403896,0.035765983164310455
83,0.043519897386431694,0.03580179437994957
84,0.04324530530720949,0.03532752767205238
85,0.042861321941018105,0.03547366335988045
86,0.04282757546752691,0.035365451127290726
87,0.04233239218592644,0.03498264029622078
88,0.042281897738575935,0.035796213895082474
89,0.04184641130268574,0.03486766293644905
90,0.0415852265432477,0.03536076098680496
91,0.041206310503184795,0.034548547118902206
92,0.04113055672496557,0.03526381403207779
93,0.04087106231600046,0.035292476415634155
94,0.04064154904335737,0.034637004137039185
95,0.04009576607495546,0.035018354654312134
96,0.03975039999932051,0.03538715839385986
97,0.039808143861591816,0.03451104834675789
98,0.03941175900399685,0.035322826355695724
99,0.03932448383420706,0.034333180636167526
100,0.038960318081080914,0.035782862454652786
101,0.0387333994731307,0.03465155512094498
102,0.038380744867026806,0.035384077578783035
103,0.038238272070884705,0.03494710847735405
104,0.03778122365474701,0.03493419289588928
105,0.03767017833888531,0.03497839346528053
106,0.03762195631861687,0.035038333386182785
107,0.037310902029275894,0.03474259003996849
108,0.03685370273888111,0.03534165397286415
109,0.03655218705534935,0.03512687608599663
110,0.036355866119265556,0.03494122996926308
111,0.036065930500626564,0.03513408452272415
112,0.035803391598165035,0.035183750092983246
113,0.03557083010673523,0.035200200974941254
114,0.0353013826534152,0.03512599691748619
115,0.03523229155689478,0.03545099124312401
116,0.0349445678293705,0.03505640849471092
117,0.03479751851409674,0.03566713258624077
118,0.034275018610060215,0.0353238508105278
119,0.03396379388868809,0.03552636876702309
120,0.0338559914380312,0.0354437381029129
121,0.033742254599928856,0.035709548741579056
122,0.03335917927324772,0.0355292484164238
123,0.0332356384024024,0.03594469651579857
124,0.03289196966215968,0.035428471863269806
