epoch,train,val
0,0.643605,0.600811
10,0.104521,0.108304
20,0.057225,0.064835
30,0.050948,0.058844
40,0.046618,0.05512
50,0.043133,0.052276
60,0.040007,0.049991
70,0.036989,0.048392
80,0.03445,0.047121
90,0.031306,0.045912
100,0.028468,0.045193
110,0.025659,0.044391
120,0.023177,0.044088
130,0.021141,0.043468
140,0.019262,0.043309
150,0.017707,0.042818
160,0.016318,0.042807
170,0.015239,0.042762
180,0.014275,0.042824
190,0.013066,0.042719
200,0.012228,0.042666
210,0.011613,0.043031
220,0.010898,0.042596
230,0.010183,0.04276
240,0.009651,0.042812
250,0.00903,0.042703
260,0.008914,0.042916
270,0.008427,0.042797
280,0.008157,0.04314
290,0.007678,0.042651
300,0.007514,0.043282
310,0.007202,0.043009
320,0.00679,0.043141
330,0.006516,0.043026
340,0.005986,0.042917
350,0.005937,0.042625
360,0.005689,0.043218
370,0.005919,0.042846
380,0.005854,0.042418
390,0.005401,0.043176
400,0.00533,0.042569
410,0.005202,0.042339
420,0.004798,0.042363
430,0.004736,0.042077
440,0.004932,0.042657
450,0.004208,0.042451
460,0.004409,0.042294
470,0.004247,0.042398
480,0.004182,0.042389
490,0.004203,0.042473
