epoch,train,val
0,0.531907,0.549149
10,0.035686,0.054275
20,0.020402,0.051662
30,0.013394,0.050645
40,0.00982,0.050098
50,0.007854,0.0492
60,0.006209,0.049043
70,0.005707,0.048049
80,0.004977,0.046859
90,0.004656,0.04763
100,0.004338,0.048017
110,0.003976,0.047303
120,0.004006,0.045447
130,0.00267,0.045909
140,0.002313,0.046206
150,0.002762,0.046191
160,0.002184,0.04626
170,0.002475,0.0462
180,0.002219,0.046367
190,0.002354,0.04625
200,0.002329,0.046415
210,0.002489,0.046304
220,0.002258,0.046268
230,0.002245,0.046291
240,0.002173,0.046311
250,0.002294,0.046252
260,0.002194,0.046282
270,0.0023,0.04625
280,0.002168,0.04627
290,0.002401,0.046256
300,0.002436,0.046273
310,0.002247,0.046241
320,0.002156,0.046325
330,0.002178,0.046304
340,0.002204,0.046281
350,0.002528,0.046178
360,0.002283,0.046269
370,0.002279,0.046224
380,0.002473,0.046256
390,0.002361,0.046284
400,0.002314,0.04616
410,0.002241,0.046294
420,0.00238,0.046339
430,0.002414,0.046187
440,0.002961,0.046193
450,0.002372,0.046265
460,0.002225,0.046313
470,0.002325,0.046265
480,0.002338,0.046184
490,0.00224,0.046362
