epoch,train_beta2,val_mse
0,0.18291617184877396,0.13484357297420502
1,0.15334806218743324,0.08341024816036224
2,0.10917077027261257,0.07641364634037018
3,0.09477494284510612,0.06157262995839119
4,0.09349738620221615,0.062301021069288254
5,0.09149043262004852,0.060544323176145554
6,0.08734910562634468,0.06287753582000732
7,0.08754311501979828,0.06206406280398369
8,0.08601982705295086,0.059699781239032745
9,0.08500160649418831,0.05895494669675827
10,0.08319254964590073,0.05889281630516052
11,0.08176332712173462,0.05744211748242378
12,0.0796869806945324,0.05615903064608574
13,0.07807386666536331,0.054723091423511505
14,0.07660308480262756,0.05401746556162834
15,0.07527874410152435,0.05466890707612038
16,0.0749734379351139,0.05356172099709511
17,0.07437401823699474,0.05368475243449211
18,0.07441397197544575,0.052873749285936356
19,0.07444754987955093,0.05417383462190628
20,0.0741850882768631,0.05332217738032341
21,0.07405782304704189,0.053716931492090225
22,0.07378030568361282,0.052650511264801025
23,0.07323483191430569,0.0534471720457077
24,0.07341498881578445,0.0524856261909008
25,0.07316417247056961,0.05306065455079079
26,0.07272802293300629,0.052220750600099564
27,0.07295974157750607,0.05251705273985863
28,0.07267463207244873,0.051952213048934937
29,0.07188591919839382,0.05203493312001228
30,0.07146581634879112,0.05153404176235199
31,0.07084463723003864,0.05070590227842331
32,0.07008784636855125,0.05011224001646042
33,0.07001844979822636,0.050256408751010895
34,0.06925103440880775,0.050682373344898224
35,0.0687504131346941,0.04909583553671837
36,0.06840278580784798,0.05004182085394859
37,0.06766045652329922,0.04906697943806648
38,0.06718825548887253,0.049489423632621765
39,0.06654556654393673,0.04869220405817032
40,0.06577108055353165,0.0489007867872715
41,0.06464206054806709,0.04855576157569885
42,0.06386968493461609,0.04855768010020256
43,0.06307160574942827,0.04770718142390251
44,0.06239487323909998,0.047469012439250946
45,0.06143495813012123,0.0467253252863884
46,0.061004881747066975,0.04663858562707901
47,0.059880091808736324,0.045599207282066345
48,0.05929997656494379,0.04445529729127884
49,0.0583324758335948,0.04408589377999306
50,0.05757271498441696,0.04400669410824776
51,0.05706789530813694,0.043947480618953705
52,0.05638888571411371,0.04293540492653847
53,0.05596706084907055,0.04259636998176575
54,0.05541664827615023,0.042520519345998764
55,0.05488880164921284,0.04256614297628403
56,0.05479633994400501,0.041806191205978394
57,0.054277646355330944,0.0411902517080307
58,0.05368885863572359,0.04104292392730713
59,0.05303185898810625,0.03998938947916031
60,0.05240247119218111,0.040616873651742935
61,0.05194893013685942,0.039534781128168106
62,0.05110743083059788,0.03945697098970413
63,0.050598946399986744,0.03920022025704384
64,0.05019068904221058,0.03930407017469406
65,0.049732849933207035,0.038391537964344025
66,0.04933180380612612,0.039413005113601685
67,0.048770803958177567,0.03797357156872749
68,0.04847176931798458,0.03839477151632309
69,0.04828401003032923,0.03848201408982277
70,0.04758450482040644,0.03776733949780464
71,0.04732436407357454,0.03758496791124344
72,0.04694041516631842,0.037187691777944565
73,0.046547203324735165,0.03698483482003212
74,0.04570341017097235,0.036491651087999344
75,0.04569479450583458,0.036354903131723404
76,0.04510430712252855,0.03702106326818466
77,0.04460197314620018,0.03533139079809189
78,0.04453863017261028,0.03625132143497467
79,0.044051905162632465,0.03575850650668144
80,0.043765924870967865,0.03532910346984863
81,0.043314771726727486,0.03645780682563782
82,0.042812938801944256,0.03499891608953476
83,0.042784866876900196,0.03556545451283455
84,0.042285448871552944,0.03526584059000015
85,0.04213793855160475,0.035950034856796265
86,0.04189532808959484,0.03492452949285507
87,0.041483670473098755,0.03571736440062523
88,0.04117156844586134,0.034986626356840134
89,0.0407550111413002,0.03512376919388771
90,0.040630100294947624,0.035040389746427536
91,0.04009918309748173,0.03452133759856224
92,0.03987722471356392,0.03550175949931145
93,0.0393297141417861,0.03472551703453064
94,0.03900688886642456,0.03490391746163368
95,0.03867813106626272,0.03506006300449371
96,0.03838824015110731,0.034433141350746155
97,0.0381079250946641,0.03517306223511696
98,0.03779342770576477,0.034707728773355484
99,0.03765750303864479,0.035536739975214005
100,0.03727872110903263,0.03468361124396324
101,0.03684548381716013,0.03546477481722832
102,0.036817033775150776,0.034785058349370956
103,0.03648112900555134,0.03477712720632553
104,0.03583146259188652,0.0357927568256855
105,0.035756221041083336,0.03511965647339821
106,0.035353473387658596,0.035362910479307175
107,0.03514536563307047,0.03528204187750816
108,0.03493775147944689,0.03499879688024521
109,0.03438782598823309,0.03591414913535118
110,0.03421476483345032,0.03498237952589989
111,0.03383487742394209,0.03595675900578499
112,0.033442359417676926,0.03512105718255043
113,0.032765431329607964,0.03564340993762016
114,0.032421378418803215,0.0359388068318367
115,0.03212913125753403,0.03563268855214119
116,0.03185128699988127,0.035663701593875885
117,0.0315743014216423,0.03618663176894188
118,0.031081889756023884,0.0351368747651577
119,0.030479556880891323,0.03589247912168503
120,0.030435417778789997,0.03548135235905647
121,0.029817077331244946,0.03590355068445206
122,0.029415554367005825,0.03604255989193916
123,0.029174112249165773,0.03557528182864189
124,0.028787131421267986,0.035730086266994476
125,0.02824899321421981,0.03591010347008705
126,0.028030845802277327,0.03594324737787247
127,0.027633887715637684,0.03630165010690689
128,0.02738073142245412,0.03584488853812218
129,0.027134315110743046,0.036393653601408005
130,0.026513820979744196,0.03550383076071739
131,0.026349266059696674,0.03641830384731293
132,0.025993690825998783,0.03632787615060806
133,0.025766410399228334,0.03605853393673897
134,0.025593971367925406,0.035995740443468094
135,0.024954731576144695,0.03594665229320526
136,0.024454811587929726,0.036188870668411255
137,0.024049433413892984,0.03619331866502762
138,0.02366574201732874,0.03607800602912903
139,0.023347156587988138,0.03626355156302452
140,0.023071980103850365,0.03598631173372269
141,0.022558799479156733,0.036187637597322464
142,0.022203930653631687,0.03618991747498512
143,0.021825567819178104,0.0362989604473114
144,0.021614438854157925,0.03613319620490074
145,0.02144188992679119,0.03636867180466652
146,0.020771839190274477,0.03617173433303833
147,0.02062128856778145,0.03623976558446884
148,0.020351816434413195,0.03660200536251068
149,0.020163003355264664,0.0362999401986599
150,0.019716150127351284,0.03648030385375023
151,0.019491794053465128,0.03655540198087692
152,0.019271817058324814,0.036647822707891464
153,0.018888638354837894,0.036353617906570435
154,0.018464465159922838,0.03672293946146965
155,0.018330648075789213,0.0366063229739666
156,0.018123884219676256,0.036638740450143814
157,0.017854375299066305,0.036772049963474274
158,0.017562153283506632,0.03705834224820137
159,0.01736796274781227,0.0365406833589077
160,0.01697432203218341,0.03700447827577591
161,0.016712522134184837,0.03704894334077835
162,0.016511015128344297,0.036899641156196594
163,0.016297101508826017,0.037201154977083206
164,0.01608842285349965,0.0371851772069931
165,0.01590382750146091,0.03713978826999664
166,0.015872340416535735,0.03707348182797432
167,0.015401778044179082,0.03746948763728142
168,0.015343182254582644,0.037362195551395416
169,0.015097526600584388,0.037782102823257446
