epoch,train,val
0,0.5557085704058409,0.470174640417099
10,0.015457494766451418,0.013228688389062881
20,0.008729058463359252,0.006679421640001237
30,0.006132585724117234,0.0042775634210556746
40,0.0055034324614098296,0.003440778353251517
50,0.004272505204426125,0.0027955459081567824
60,0.004383673294796608,0.0022488924441859126
70,0.0034445892670191824,0.0018085873452946544
80,0.003533391034579836,0.0017586966860108078
90,0.00324873087083688,0.0016568788851145655
100,0.0035925269694416784,0.0016416915168520063
110,0.0030917916301405057,0.001643760915612802
120,0.002799520989356097,0.00164805754320696
130,0.002849398078978993,0.0016321014263667166
140,0.003061273877392523,0.0016407838265877217
150,0.0031857704889262095,0.0016390409145969898
160,0.002849287833669223,0.001654402760323137
170,0.003360476162924897,0.001650020625675097
180,0.003125361108686775,0.0016439840837847441
190,0.003219087033357937,0.001648645498789847
200,0.0035107439471175894,0.0016283844015561044
210,0.0031307666286011226,0.001635671389522031
220,0.0031561486975988373,0.0016385958006139845
230,0.00343470318330219,0.0016216727381106466
240,0.0036959568969905376,0.001636960223549977
250,0.0029483142498065718,0.001626840909011662
260,0.003413543396163732,0.001616985013242811
270,0.0034717832459136844,0.0016239036049228162
280,0.0037352467043092474,0.0016386453644372523
290,0.0027773533583967946,0.0016487940156366676
300,0.0027056155740865506,0.0016118008352350444
310,0.003210146889614407,0.0016256087110377848
320,0.0028645555503317155,0.0016249091422650963
330,0.0031269574246834964,0.001617745845578611
340,0.0025957607067539357,0.0016342674207407981
350,0.003369432088220492,0.0016515067254658788
360,0.003262162674218416,0.001651069411309436
370,0.0033511736764921807,0.0016390586970373988
380,0.003455758596828673,0.0016262598510365933
390,0.003258663840824738,0.001656940090470016
400,0.002742959273746237,0.0016524754173588008
410,0.0030107123166089877,0.0016481684288010001
420,0.002951431531982962,0.0016436630685348064
430,0.0025948148904717527,0.0016386730421800166
440,0.0030416938752750866,0.0016421532491222024
450,0.003462637512711808,0.0016319444694090635
460,0.0038467907288577408,0.0016320494178216904
470,0.0026412741644890048,0.0016305889876093715
480,0.0035711046584765427,0.001673683407716453
490,0.003222165170882363,0.0016300982097163796
