epoch,train,val
0,0.417653,0.480462
10,0.018554,0.048158
20,0.009575,0.046328
30,0.006881,0.044698
40,0.004791,0.043731
50,0.004649,0.043097
60,0.004668,0.043159
70,0.002557,0.04214
80,0.002106,0.04221
90,0.002057,0.04219
100,0.001818,0.042388
110,0.001662,0.04226
120,0.001722,0.042446
130,0.001778,0.042629
140,0.001418,0.042589
150,0.00148,0.042445
160,0.001482,0.042529
170,0.00139,0.042661
180,0.001434,0.042672
190,0.001391,0.042602
200,0.001525,0.042572
210,0.001464,0.042572
220,0.001446,0.042619
230,0.001542,0.04258
240,0.001276,0.042512
250,0.001569,0.042574
260,0.001552,0.042609
270,0.001537,0.042559
280,0.00162,0.042607
290,0.00147,0.042604
300,0.001696,0.042472
310,0.001569,0.042535
320,0.001599,0.042531
330,0.001765,0.042529
340,0.001494,0.042532
350,0.001503,0.042648
360,0.001547,0.042482
370,0.001438,0.042429
380,0.001434,0.042473
390,0.001655,0.042608
400,0.001766,0.042499
410,0.001397,0.042571
420,0.001496,0.042522
430,0.001255,0.04252
440,0.001547,0.04257
450,0.001531,0.042602
460,0.001445,0.042559
470,0.001473,0.042586
480,0.0014,0.042574
490,0.001501,0.042604
